feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
C18.neg_Cluster_2021..urobilin	diagnosis_modified	CD	-7.59872004464517	0.942713582160045	220	171	8.98133430528509e-14	1.49808656212155e-10
HILIC.pos_Cluster_2093..urobilin.	diagnosis_modified	CD	-8.60580983560599	1.0933239521381	220	158	2.81107350006072e-13	2.34443529905064e-10
HILIC.pos_Cluster_1486..C16.carnitine	diagnosis_modified	CD	4.37233190753101	0.649593421080539	220	189	2.02840447324058e-10	1.12779288712177e-07
HILIC.pos_Cluster_0268..pyridoxamine	diagnosis_modified	CD	-2.44626344875783	0.38406491465514	220	219	1.44908619317188e-09	6.04268942552673e-07
C18.neg_Cluster_0490..docosapentaenoic.acid	diagnosis_modified	CD	2.96908750862624	0.476615528821385	220	213	3.04788276852711e-09	1.01677369158065e-06
C18.neg_Cluster_0863..docosapentaenoic.acid	diagnosis_modified	CD	3.1501063763254	0.514286238012415	220	173	5.271987985165e-09	1.2540720053645e-06
C8.pos_Cluster_0988..sphingosine	diagnosis_modified	CD	2.80801816080922	0.458589655411307	220	186	5.32847672104709e-09	1.2540720053645e-06
HILIC.neg_Cluster_1303..lithocholate	antibiotic	Yes	-5.87945082951546	0.969552902138377	220	202	7.24830312169613e-09	1.2540720053645e-06
HILIC.pos_Cluster_0521..L.1.2.3.4.tetrahydro.beta.carboline.3.carboxylic.acid.	diagnosis_modified	CD	-2.29279101799024	0.378533483018287	220	211	7.51841729834832e-09	1.2540720053645e-06
HILIC.pos_Cluster_1580..C18.2.carnitine	diagnosis_modified	CD	4.00761842451551	0.659686338301343	220	158	6.84737058912564e-09	1.2540720053645e-06
C18.neg_Cluster_0506..adrenic.acid	diagnosis_modified	CD	3.81439098221328	0.644255911831844	220	188	1.51842724719983e-08	1.80909760594951e-06
C18.neg_Cluster_0901..7.ketodeoxycholate	diagnosis_modified	CD	-2.17299738359932	0.366504873940534	220	159	1.45484723724482e-08	1.80909760594951e-06
C18.neg_Cluster_1324..docosapentaenoic.acid	diagnosis_modified	CD	2.85192053549716	0.47905016640432	220	160	1.28438222255365e-08	1.80909760594951e-06
HILIC.neg_Cluster_0441..sebacate	diagnosis_modified	CD	-2.58873262158921	0.435500756120434	220	217	1.34518525300446e-08	1.80909760594951e-06
C18.neg_Cluster_0268..hexadecanedioic.acid	diagnosis_modified	CD	-1.36863399720872	0.231999493005739	220	217	1.69316243123254e-08	1.82535977930584e-06
C18.neg_Cluster_0729..docosapentaenoic.acid	diagnosis_modified	CD	2.47460975462145	0.41994354918134	220	112	1.75094463242767e-08	1.82535977930584e-06
C18.neg_Cluster_0833..deoxycholic.acid	antibiotic	Yes	-4.52066201466634	0.771193660200768	220	213	2.0484186651318e-08	2.00986019614109e-06
C18.neg_Cluster_0591..eicosatrienoic.acid	diagnosis_modified	CD	2.64723165814615	0.452744144744151	220	119	2.20857523131599e-08	2.04661304768615e-06
HILIC.pos_Cluster_0184..pyridoxamine	diagnosis_modified	CD	-2.25088711447128	0.389391547741751	220	217	3.0922231087271e-08	2.71464639229306e-06
C18.neg_Cluster_0079..undecanedionate	diagnosis_modified	CD	-2.26237311097439	0.396001058739764	220	213	4.33855707736311e-08	3.61835660252083e-06
C8.pos_Cluster_0264..linoleoyl.ethanolamide	diagnosis_modified	CD	2.98185873575527	0.52608812253419	220	217	5.43184584445538e-08	4.31443755645313e-06
C18.neg_Cluster_0361..eicosatrienoic.acid	diagnosis_modified	CD	2.93499459323953	0.519529628399264	220	206	5.95934850427859e-08	4.51826968415304e-06
C8.pos_Cluster_0253..sphingosine	diagnosis_modified	CD	2.16899104631003	0.396965464089791	220	220	1.48089242215275e-07	1.04951616461776e-05
HILIC.pos_Cluster_1374..C14.carnitine	diagnosis_modified	CD	2.93056252877608	0.536742305707737	220	100	1.51009520088886e-07	1.04951616461776e-05
C8.pos_Cluster_0341..N.oleoylethanolamine	diagnosis_modified	CD	2.55667505646403	0.472277890441037	220	214	1.89033959048586e-07	1.26123457477217e-05
HILIC.pos_Cluster_0384..N.acetylglutamic.acid	diagnosis_modified	CD	-1.83336517957598	0.340927125744694	220	220	2.24713330245758e-07	1.44162244173048e-05
C18.neg_Cluster_0731..lithocholic.acid	antibiotic	Yes	-4.19971872430966	0.783827950624816	220	212	2.46903140542223e-07	1.52531273490529e-05
C18.neg_Cluster_0045..azelate	diagnosis_modified	CD	-1.96416598188666	0.369375082403875	220	220	2.9952922416556e-07	1.78433837824341e-05
HILIC.pos_Cluster_0540..pantothenate	diagnosis_modified	CD	-1.52330053565397	0.287147015166795	220	220	3.18040885483249e-07	1.82928343788296e-05
C8.pos_Cluster_0339..linoleoyl.ethanolamide	diagnosis_modified	CD	2.75067466732597	0.521242986133481	220	218	3.6296290721199e-07	2.01807376409867e-05
HILIC.pos_Cluster_0151..butyrobetaine	antibiotic	Yes	-2.15360873752337	0.409086813620893	220	220	3.85507778285353e-07	2.04139553395018e-05
HILIC.pos_Cluster_0524..N.acetyl.L.arginine	diagnosis_modified	CD	-1.67931823454027	0.319195324023808	220	220	3.91634634810587e-07	2.04139553395018e-05
C18.neg_Cluster_0183..1.2.3.4.tetrahydro.b.carboline.1.3.dicarboxylic.acid	diagnosis_modified	CD	-2.34232389998874	0.445837452816434	220	171	4.05467988226445e-07	2.04945637685367e-05
C8.pos_Cluster_0166..sphingosine	diagnosis_modified	CD	2.3180799347033	0.442393358242783	220	215	4.3299105058643e-07	2.06351163536619e-05
HILIC.pos_Cluster_0177..4.hydroxy.3.methylacetophenone	diagnosis_modified	CD	-2.14000857991871	0.408406762520146	220	210	4.3292249208754e-07	2.06351163536619e-05
C18.neg_Cluster_0832..chenodeoxycholate	diagnosis_modified	CD	4.23480543528501	0.810412841888846	220	151	4.63351314470445e-07	2.14686109037973e-05
HILIC.neg_Cluster_0288..suberate	diagnosis_modified	CD	-1.71420975847967	0.328496553620765	220	219	4.79201354567791e-07	2.16029151194345e-05
HILIC.pos_Cluster_0658..geranyl.acetoacetate.	diagnosis_modified	CD	-1.67627510388384	0.322451505729507	220	217	5.25985629664329e-07	2.30880007968447e-05
HILIC.pos_Cluster_0062..nicotinic.acid	diagnosis_modified	CD	-1.44035728887847	0.279016929182415	220	219	6.23396064779759e-07	2.66621701551959e-05
HILIC.neg_Cluster_1088..linoleoyl.ethanolamide	diagnosis_modified	CD	2.29615604166124	0.449659914587241	220	217	8.08414152493523e-07	3.37108701589799e-05
HILIC.neg_Cluster_1325..linoleoyl.ethanolamide	diagnosis_modified	CD	2.44779028811483	0.481117416293226	220	220	8.81593479551565e-07	3.58658030217564e-05
HILIC.neg_Cluster_0220..3.methyladipate.pimelate	diagnosis_modified	CD	-4.63694388867314	0.921036849165395	220	180	1.12676777951641e-06	4.4748777529366e-05
C18.neg_Cluster_0144..2.hydroxymyristic.acid	diagnosis_modified	CD	-1.95127950595576	0.390001869953256	220	220	1.30010393232822e-06	4.92857581618972e-05
C18.neg_Cluster_0486..carnosol	diagnosis_modified	CD	-3.55231386638908	0.709446796524745	220	159	1.27709776700134e-06	4.92857581618972e-05
HILIC.pos_Cluster_0495..N.acetylglutamic.acid	diagnosis_modified	CD	-1.69845798123962	0.340644804534411	220	214	1.40665880363374e-06	5.2140152988024e-05
HILIC.pos_Cluster_0540..pantothenate	diagnosis_modified	UC	-1.49039854845229	0.301173693845031	220	220	1.66738513327898e-06	6.04608348328117e-05
HILIC.neg_Cluster_0064..caproic.acid	diagnosis_modified	CD	-3.28028041927367	0.664249133190589	220	215	1.74715409228085e-06	6.20053835303077e-05
C18.neg_Cluster_0031..phenyllactate	antibiotic	Yes	-6.03676862991782	1.23623642635028	220	205	2.2409007701447e-06	7.78510052456821e-05
C8.pos_Cluster_0629..cholestenone	diagnosis_modified	CD	-2.37661787700651	0.487360367892255	220	113	2.30910573401194e-06	7.78510052456821e-05
HILIC.neg_Cluster_0082..nicotinate	antibiotic	Yes	-1.57815821202124	0.3237809183911	220	220	2.33366322678903e-06	7.78510052456821e-05
HILIC.neg_Cluster_0365..azelaic.acid	diagnosis_modified	CD	-1.79064995406209	0.370939881993642	220	220	2.87756725345808e-06	9.41133760542761e-05
C18.neg_Cluster_0064..sebacate	diagnosis_modified	CD	-2.08364817963915	0.43280049581446	220	218	3.0490502885663e-06	9.78041515640113e-05
C18.neg_Cluster_0111..dodecanedioic.acid	diagnosis_modified	CD	-1.74678363485672	0.364314052624516	220	216	3.32684743940344e-06	0.000104701538281603
C18.neg_Cluster_1060..chenodeoxycholate	diagnosis_modified	CD	2.77230384802179	0.581880959874329	220	118	3.80513836386806e-06	0.000117536496128369
HILIC.pos_Cluster_1370..5alpha.cholestanol	diagnosis_modified	CD	-4.00680288453465	0.843614169087856	220	134	4.06223422760952e-06	0.000123196485302776
HILIC.neg_Cluster_0401..glucurote	antibiotic	Yes	-3.00886252637593	0.636120020526332	220	200	4.42718759232713e-06	0.000131866944714315
C18.neg_Cluster_0563..palmitoylethanolamide	diagnosis_modified	CD	1.97909072110965	0.420681164034447	220	208	4.9519013508649e-06	0.00014490827110952
HILIC.neg_Cluster_1126..docosapentaenoate	diagnosis_modified	CD	2.14876536449768	0.463093838937241	220	220	6.55784172884392e-06	0.000188594482822615
C8.pos_Cluster_0123..sphingosine	diagnosis_modified	CD	1.78419289627785	0.386583951621894	220	218	7.29890660487027e-06	0.000206348749439383
HILIC.pos_Cluster_0268..pyridoxamine	diagnosis_modified	UC	-1.85658730322314	0.402825879822487	220	219	7.50244246820234e-06	0.000208567900616025
C8.pos_Cluster_0478..cholestenone	diagnosis_modified	CD	-2.642344392926	0.576545682106862	220	220	8.38561869508703e-06	0.000225600193280728
HILIC.pos_Cluster_0657..geranyl.acetoacetate.	diagnosis_modified	CD	-1.52666721641321	0.332870376832506	220	217	8.26716282371089e-06	0.000225600193280728
HILIC.neg_Cluster_0824..inosine	antibiotic	Yes	-3.02790622619519	0.661421412292777	220	203	8.57444209696448e-06	0.000227018562186298
HILIC.pos_Cluster_0062..nicotinic.acid	antibiotic	Yes	-1.41058524201743	0.308870683504469	220	219	8.98743390838649e-06	0.000234234996237323
C8.pos_Cluster_1495..linoleoyl.ethanolamide	diagnosis_modified	CD	2.52750973879341	0.554462140040615	220	75	9.31760139074836e-06	0.000239103986457973
C8.pos_Cluster_1900..cholestenone	diagnosis_modified	CD	-3.76394643194214	0.830602882749484	220	158	1.04523933203877e-05	0.000264160485733435
C18.neg_Cluster_1372..cholate	diagnosis_modified	CD	3.20966210506098	0.709773055819989	220	117	1.08833962893298e-05	0.00027092560974607
HILIC.pos_Cluster_0447..ADMA	steroids	Yes	1.25884520238288	0.278589799437763	220	220	1.1044928934492e-05	0.00027092560974607
HILIC.neg_Cluster_0122..erythronic.acid	diagnosis_modified	CD	1.47180426077756	0.326047662313759	220	220	1.12609991727129e-05	0.00027176807705011
HILIC.pos_Cluster_0453..C2.carnitine	antibiotic	Yes	4.18053718409691	0.926725627611887	220	145	1.14051351280022e-05	0.00027176807705011
C8.pos_Cluster_0554..cholestenone	diagnosis_modified	CD	-2.1944282628739	0.489955759431442	220	220	1.30754755487053e-05	0.000307181594580851
C8.pos_Cluster_1849..cholestenone	diagnosis_modified	CD	-6.04691195663626	1.35719808152459	220	123	1.44314707823224e-05	0.000334329073123801
C18.neg_Cluster_1045..chenodeoxycholate	diagnosis_modified	CD	3.03486953226925	0.686871955235487	220	159	1.6859531766766e-05	0.000385228753246106
HILIC.neg_Cluster_0181..hydrocinnamic.acid	diagnosis_modified	CD	-3.64793315632211	0.829537644068375	220	205	1.83933235439621e-05	0.000414595455017956
C18.neg_Cluster_1196..glycodeoxycholic.acid	antibiotic	Yes	-3.49789280222109	0.797726004017733	220	177	1.93943229338316e-05	0.000417291149500297
C18.neg_Cluster_1722..cholate	diagnosis_modified	CD	2.61667488367174	0.596406241036986	220	124	1.91876536792031e-05	0.000417291149500297
HILIC.neg_Cluster_0082..nicotinate	diagnosis_modified	CD	-1.28414603222733	0.292486022151208	220	220	1.89455512989325e-05	0.000417291149500297
HILIC.pos_Cluster_0108..hypoxanthine	antibiotic	Yes	-1.38770902136494	0.316585955683268	220	220	1.95136149046902e-05	0.000417291149500297
HILIC.pos_Cluster_1148..linoleoyl.ethanolamide	diagnosis_modified	CD	2.23585231545275	0.510876791286956	220	215	2.00779526410353e-05	0.000423924367155023
HILIC.pos_Cluster_0524..N.acetyl.L.arginine	diagnosis_modified	UC	-1.45557962293644	0.334787512029234	220	220	2.2617626109172e-05	0.000471577504376235
HILIC.neg_Cluster_0082..nicotinate	diagnosis_modified	UC	-1.3283270715441	0.306773502897638	220	220	2.43407529702606e-05	0.000501239209313514
HILIC.neg_Cluster_1403..cholate	diagnosis_modified	CD	2.83545243525499	0.657833117610651	220	219	2.63971933344625e-05	0.000536957542461993
C18.neg_Cluster_1941..arachidonic.acid	diagnosis_modified	UC	1.47133669978847	0.341711040119828	220	170	2.68896684339195e-05	0.000540385143949128
C18.neg_Cluster_1621..cholate	diagnosis_modified	CD	2.8503689584623	0.663566720312511	220	108	2.80463933570823e-05	0.000550369224936626
C8.pos_Cluster_0168..palmitoylethanolamide	diagnosis_modified	CD	1.6678715120134	0.388074213449608	220	217	2.77844387720326e-05	0.000550369224936626
HILIC.neg_Cluster_0372..N.acetylglutamate	diagnosis_modified	CD	-1.22906966955448	0.286622297073321	220	220	2.89110416195005e-05	0.000560739737457288
HILIC.neg_Cluster_0187..xanthine	antibiotic	Yes	-1.90563532270127	0.44556686321148	220	219	3.02709944685353e-05	0.000580368031879504
HILIC.pos_Cluster_0268..pyridoxamine	antibiotic	Yes	-1.8136955165247	0.425158405431606	220	219	3.16549088033977e-05	0.000600004407773493
HILIC.pos_Cluster_0062..nicotinic.acid	diagnosis_modified	UC	-1.24244832293843	0.292646465986608	220	219	3.43920443079587e-05	0.000644561010176125
HILIC.pos_Cluster_0230..carnitine	antibiotic	Yes	1.69074028359931	0.398554686098868	220	219	3.48678878353154e-05	0.000646218187881179
C18.neg_Cluster_0486..carnosol	diagnosis_modified	UC	-3.14685300778629	0.744102153288165	220	159	3.67741074902223e-05	0.000674057266963635
C18.neg_Cluster_0219..2.hydroxyhexadecanoate	diagnosis_modified	CD	-2.17042563073416	0.513763302558242	220	220	3.74502339576023e-05	0.000678989024361746
HILIC.pos_Cluster_0184..pyridoxamine	antibiotic	Yes	-1.81967582099713	0.431054968077678	220	217	3.79256901628122e-05	0.000680215604210438
HILIC.neg_Cluster_0622..1.2.3.4.tetrahydro.1.methyl.beta.carboline.3.carboxylic.acid	diagnosis_modified	CD	-1.87571456320493	0.444794791842565	220	206	3.86090337422197e-05	0.000685104981723644
HILIC.neg_Cluster_0296..citrulline	antibiotic	Yes	-1.80003552532219	0.429067003678121	220	219	4.21608731386133e-05	0.000740256172581126
HILIC.neg_Cluster_0181..hydrocinnamic.acid	antibiotic	Yes	-3.81947642153412	0.91829502914705	220	205	4.87034578477045e-05	0.000846222580103866
HILIC.pos_Cluster_0521..L.1.2.3.4.tetrahydro.beta.carboline.3.carboxylic.acid.	diagnosis_modified	UC	-1.63803906059313	0.397024246476743	220	211	5.56762519760919e-05	0.000957401941197127
HILIC.pos_Cluster_1374..C14.carnitine	antibiotic	Yes	2.43773417288803	0.594171698884004	220	100	6.10127247741097e-05	0.00103846147880832
HILIC.pos_Cluster_0081..pipecolic.acid	diagnosis_modified	CD	-2.03525225550656	0.497337260513762	220	219	6.35890149127001e-05	0.0010713785542867
HILIC.neg_Cluster_0677..cystine	diagnosis_modified	CD	2.41979257224472	0.591829350120585	220	173	6.45088507309165e-05	0.00107600763019169
HILIC.pos_Cluster_0036..creatinine	steroids	Yes	2.72929397732185	0.670608417882286	220	213	6.9473681450327e-05	0.00112926286907768
HILIC.pos_Cluster_0090..creatine	steroids	Yes	2.19904241193571	0.540446979393935	220	218	6.97326591816553e-05	0.00112926286907768
HILIC.pos_Cluster_0184..pyridoxamine	diagnosis_modified	UC	-1.66328795390279	0.408412710531905	220	217	6.87413506253121e-05	0.00112926286907768
C18.neg_Cluster_1129..chenodeoxycholate	diagnosis_modified	CD	2.80336378688113	0.690193303679157	220	203	7.17441639776929e-05	0.00115066601456531
HILIC.neg_Cluster_0299..ascorbate	antibiotic	Yes	-2.60028142097552	0.641908122827576	220	216	7.48681186818669e-05	0.00118933354248909
C18.neg_Cluster_1273..cholate	diagnosis_modified	CD	2.5646469533735	0.634318686554853	220	197	7.71672973203509e-05	0.00121429294273911
C18.neg_Cluster_1575..taurodeoxycholic.acid	antibiotic	Yes	-3.22687959940628	0.802897334595537	220	162	8.47985038237426e-05	0.0013096657812778
HILIC.pos_Cluster_2093..urobilin.	diagnosis_modified	UC	-4.60949743930485	1.14673110233589	220	158	8.4586670075716e-05	0.0013096657812778
HILIC.neg_Cluster_0552..pantothete	diagnosis_modified	CD	-1.0847046825744	0.270528278621518	220	220	8.79865017215637e-05	0.00134643564102356
HILIC.neg_Cluster_0040..pyrocatechol	diagnosis_modified	CD	-1.86395889997767	0.466158251113705	220	211	9.1844455164408e-05	0.00139269592012939
HILIC.neg_Cluster_0122..erythronic.acid	diagnosis_modified	UC	1.36637686117282	0.341974576234172	220	220	9.29227733883552e-05	0.00139635302713312
HILIC.neg_Cluster_0123..hypoxanthine	antibiotic	Yes	-1.4928800135617	0.374375306195872	220	218	9.58155174171424e-05	0.00142696681296244
HILIC.pos_Cluster_0086..N.acetylputrescine	diagnosis_modified	CD	3.01579480737422	0.760488918476112	220	216	0.000104358352716099	0.00154044010911906
C18.neg_Cluster_0004..4.hydroxystyrene	antibiotic	Yes	-3.81844816867918	0.966617990854541	220	148	0.000110697254796892	0.00161967562281768
C18.neg_Cluster_1258..cholate	diagnosis_modified	CD	2.34610533242185	0.597176130772222	220	220	0.000120308008864592	0.001744989206836
HILIC.neg_Cluster_0220..3.methyladipate.pimelate	antibiotic	Yes	-3.99488984091387	1.01958430253001	220	180	0.000125254191688142	0.00180106889427431
HILIC.pos_Cluster_1160..linoleoyl.ethanolamide	diagnosis_modified	CD	1.76590922326275	0.451096210370407	220	214	0.000126919059651559	0.00180941018375043
HILIC.pos_Cluster_0453..C2.carnitine	steroids	Yes	2.66918168874591	0.683102529874762	220	145	0.000130495929884313	0.00184463738175452
HILIC.pos_Cluster_0914..8.hydroxy.deoxyguanosine	antibiotic	Yes	-2.54731766490885	0.653650825021816	220	209	0.000135770131747988	0.00190306369542559
C18.neg_Cluster_0515..palmitoylethanolamide	diagnosis_modified	CD	1.64095409803574	0.421906158310068	220	134	0.000139803093382722	0.0019114062275605
C18.neg_Cluster_0930..cholate	diagnosis_modified	CD	2.2868740264903	0.587579074230536	220	220	0.000138400967990054	0.0019114062275605
HILIC.neg_Cluster_1300..riboflavin	antibiotic	Yes	-1.28012430825151	0.329114984993468	220	200	0.000139689076167126	0.0019114062275605
C18.neg_Cluster_1596..oleanolic.acid	diagnosis_modified	CD	-2.12222038743345	0.546288973088677	220	178	0.000142265925623549	0.00192926474748032
C18.neg_Cluster_1178..cholate	diagnosis_modified	CD	2.49043758542763	0.642213946329939	220	161	0.000146048451009641	0.00196458722809743
C18.neg_Cluster_1131..arachidonic.acid	diagnosis_modified	UC	1.24290249583605	0.322765228322959	220	220	0.000161846996313928	0.00215968631881305
C18.neg_Cluster_1292..chenodeoxycholate	diagnosis_modified	CD	2.19819848852512	0.573311661980386	220	195	0.0001722996149587	0.00228091871231041
C18.neg_Cluster_1941..arachidonic.acid	diagnosis_modified	CD	1.24090744956055	0.325796399968577	220	170	0.000189537624126042	0.00246623736702252
HILIC.neg_Cluster_0182..guanine	diagnosis_modified	CD	-2.47354352458447	0.649069863204192	220	175	0.000188077960157537	0.00246623736702252
HILIC.pos_Cluster_0090..creatine	antibiotic	Yes	2.79138681766868	0.733193106840955	220	218	0.000190734184859655	0.00246623736702252
C18.neg_Cluster_1275..oleanolic.acid	diagnosis_modified	CD	-2.06489900287822	0.542707422908386	220	185	0.000192423988272998	0.00246894778799509
HILIC.neg_Cluster_0697..pentadecanoate	diagnosis_modified	CD	-1.7035217103022	0.451096856080557	220	220	0.000213971353591711	0.00272445967779369
HILIC.neg_Cluster_0161..2.methylglutaric.acid	antibiotic	Yes	-1.99657450795608	0.529026544167069	220	220	0.000215848667919482	0.00272754225825528
C18.neg_Cluster_0177..tetradecanedioate	diagnosis_modified	CD	-0.671694934387381	0.17826608096543	220	220	0.000220820013237981	0.00272835394134039
C8.pos_Cluster_0705..cholestenone	diagnosis_modified	CD	-1.92222186091124	0.510145901392171	220	125	0.000220779017958915	0.00272835394134039
